               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.030239,           0.0095493,           0.0021844,             0.89058,                   1,               0.995,              0.8955,            0.017043,           0.0068324,           0.0012187,           0.0044065,           0.0044065,           0.0044065
                 115,            0.031294,             0.01155,           0.0021209,             0.90765,                   1,               0.995,              0.8955,            0.016288,           0.0065681,           0.0011465,            0.004357,            0.004357,            0.004357
                 116,            0.033584,            0.014463,           0.0020181,             0.90765,                   1,               0.995,              0.8955,            0.016288,           0.0065681,           0.0011465,           0.0043075,           0.0043075,           0.0043075
                 117,            0.032346,            0.011308,           0.0021233,             0.87766,                   1,               0.995,               0.796,            0.022971,            0.006385,           0.0011972,            0.004258,            0.004258,            0.004258
                 118,            0.031389,            0.011615,             0.00219,             0.87766,                   1,               0.995,               0.796,            0.022971,            0.006385,           0.0011972,           0.0042085,           0.0042085,           0.0042085
                 119,            0.035954,            0.010086,           0.0022817,             0.93273,                   1,               0.995,              0.8955,            0.014492,           0.0063719,           0.0012275,            0.004159,            0.004159,            0.004159
                 120,            0.026067,            0.012746,           0.0019018,             0.93273,                   1,               0.995,              0.8955,            0.014492,           0.0063719,           0.0012275,           0.0041095,           0.0041095,           0.0041095
                 121,            0.034968,           0.0095844,            0.002004,             0.93733,                   1,               0.995,               0.796,            0.020513,           0.0058646,           0.0011866,             0.00406,             0.00406,             0.00406
                 122,            0.034777,            0.010045,           0.0018692,             0.93733,                   1,               0.995,               0.796,            0.020513,           0.0058646,           0.0011866,           0.0040105,           0.0040105,           0.0040105
                 123,            0.026812,           0.0074175,            0.001686,             0.94965,                   1,               0.995,               0.597,            0.025165,           0.0055602,           0.0012518,            0.003961,            0.003961,            0.003961
                 124,            0.029728,            0.010047,           0.0018728,             0.94965,                   1,               0.995,               0.597,            0.025165,           0.0055602,           0.0012518,           0.0039115,           0.0039115,           0.0039115
                 125,             0.02614,           0.0082436,           0.0017718,             0.95115,                   1,               0.995,              0.8955,            0.014105,             0.00592,           0.0012162,            0.003862,            0.003862,            0.003862
                 126,            0.028869,            0.010323,           0.0019569,             0.95115,                   1,               0.995,              0.8955,            0.014105,             0.00592,           0.0012162,           0.0038125,           0.0038125,           0.0038125
                 127,            0.027684,            0.011231,           0.0019915,             0.95593,                   1,               0.995,              0.8955,            0.017675,            0.005639,            0.001179,            0.003763,            0.003763,            0.003763
                 128,            0.027759,           0.0084606,           0.0018466,             0.95593,                   1,               0.995,              0.8955,            0.017675,            0.005639,            0.001179,           0.0037135,           0.0037135,           0.0037135
                 129,            0.029933,           0.0084893,            0.001869,             0.95913,                   1,               0.995,               0.796,            0.014148,           0.0057553,           0.0012675,            0.003664,            0.003664,            0.003664
                 130,            0.029643,            0.012847,           0.0022929,             0.95913,                   1,               0.995,               0.796,            0.014148,           0.0057553,           0.0012675,           0.0036145,           0.0036145,           0.0036145
                 131,            0.020546,           0.0098811,           0.0019134,             0.96245,                   1,               0.995,              0.8955,            0.015845,           0.0054975,           0.0012344,            0.003565,            0.003565,            0.003565
                 132,            0.030271,            0.011141,           0.0017228,             0.96245,                   1,               0.995,              0.8955,            0.015845,           0.0054975,           0.0012344,           0.0035155,           0.0035155,           0.0035155
                 133,            0.030299,            0.014078,           0.0018467,             0.96532,                   1,               0.995,              0.8955,            0.018171,           0.0053803,           0.0012263,            0.003466,            0.003466,            0.003466
                 134,            0.028125,            0.010945,           0.0020342,             0.96532,                   1,               0.995,              0.8955,            0.018171,           0.0053803,           0.0012263,           0.0034165,           0.0034165,           0.0034165
                 135,            0.027052,            0.011764,           0.0015101,             0.96938,                   1,               0.995,               0.796,            0.014503,           0.0054528,           0.0011849,            0.003367,            0.003367,            0.003367
                 136,            0.025476,            0.010215,           0.0017745,             0.96938,                   1,               0.995,               0.796,            0.014503,           0.0054528,           0.0011849,           0.0033175,           0.0033175,           0.0033175
                 137,            0.025933,           0.0081732,           0.0016538,             0.88794,                   1,               0.995,               0.995,            0.018456,           0.0051839,           0.0011579,            0.003268,            0.003268,            0.003268
                 138,            0.028978,            0.010478,           0.0027505,             0.88794,                   1,               0.995,               0.995,            0.018456,           0.0051839,           0.0011579,           0.0032185,           0.0032185,           0.0032185
                 139,            0.029797,           0.0090745,           0.0017434,             0.93827,                   1,               0.995,               0.796,            0.017306,            0.005022,            0.001138,            0.003169,            0.003169,            0.003169
                 140,            0.024411,            0.010311,           0.0015039,             0.93827,                   1,               0.995,               0.796,            0.017306,            0.005022,            0.001138,           0.0031195,           0.0031195,           0.0031195
                 141,            0.027736,           0.0094174,           0.0014953,             0.97573,                   1,               0.995,              0.8955,            0.015357,           0.0048759,           0.0010517,             0.00307,             0.00307,             0.00307
                 142,            0.029711,           0.0069988,           0.0017139,             0.97573,                   1,               0.995,              0.8955,            0.015357,           0.0048759,           0.0010517,           0.0030205,           0.0030205,           0.0030205
                 143,            0.024543,           0.0091483,           0.0014719,             0.97692,                   1,               0.995,             0.73353,            0.015968,           0.0048342,           0.0010284,            0.002971,            0.002971,            0.002971
                 144,             0.02266,           0.0097302,           0.0013413,             0.97692,                   1,               0.995,             0.73353,            0.015968,           0.0048342,           0.0010284,           0.0029215,           0.0029215,           0.0029215
                 145,            0.024988,            0.010978,           0.0013732,             0.97796,                   1,               0.995,               0.995,            0.012335,           0.0047505,          0.00098226,            0.002872,            0.002872,            0.002872
                 146,            0.021785,            0.011137,           0.0014998,             0.97796,                   1,               0.995,               0.995,            0.012335,           0.0047505,          0.00098226,           0.0028225,           0.0028225,           0.0028225
                 147,            0.023759,           0.0099497,           0.0014236,             0.97903,                   1,               0.995,              0.8955,            0.013166,            0.004711,          0.00093451,            0.002773,            0.002773,            0.002773
                 148,              0.0252,           0.0079627,           0.0013477,             0.97903,                   1,               0.995,              0.8955,            0.013166,            0.004711,          0.00093451,           0.0027235,           0.0027235,           0.0027235
                 149,            0.025258,           0.0076182,           0.0012879,             0.97921,                   1,               0.995,               0.995,            0.012491,           0.0046292,          0.00089329,            0.002674,            0.002674,            0.002674
                 150,            0.023431,            0.009489,           0.0013967,             0.97921,                   1,               0.995,               0.995,            0.012491,           0.0046292,          0.00089329,           0.0026245,           0.0026245,           0.0026245
                 151,            0.020512,           0.0081197,           0.0013257,             0.97983,                   1,               0.995,               0.796,            0.015265,           0.0045985,           0.0008771,            0.002575,            0.002575,            0.002575
                 152,            0.022753,            0.010278,           0.0013566,             0.97983,                   1,               0.995,               0.796,            0.015265,           0.0045985,           0.0008771,           0.0025255,           0.0025255,           0.0025255
                 153,            0.023098,            0.012365,           0.0013134,             0.97925,                   1,               0.995,              0.8955,           0.0087509,           0.0045927,          0.00083304,            0.002476,            0.002476,            0.002476
                 154,            0.026341,           0.0082428,           0.0013383,             0.97925,                   1,               0.995,              0.8955,           0.0087509,           0.0045927,          0.00083304,           0.0024265,           0.0024265,           0.0024265
                 155,            0.018329,           0.0079737,           0.0012147,             0.97942,                   1,               0.995,             0.84553,            0.015301,           0.0045311,          0.00079014,            0.002377,            0.002377,            0.002377
